nama_kos,harga,luas_kamar,jarak_ke_bca,tipe_kos,is_ac,is_km_dalam,is_water_heater,is_furnished,is_internet,is_listrik_free,is_parkir_mobil,is_mesin_cuci
Kost Casa Panorama Tipe F Cilandak Jakarta Selatan,3800000,16.0,1.6634867657767447,campur,1,1,0,1,1,1,0,1
Kost Singgahsini House of Marsya Tipe A Cilandak Jakarta Selatan,3775000,12.0,2.790021549430873,campur,1,1,1,1,1,0,1,0
Kost Fatmawati Deluxe Plus Cilandak Jakarta Selatan,3750000,15.0,2.652910153792593,campur,1,1,1,1,1,0,1,1
Kost Vayassi House Syariah Suite Cilandak Jakarta Selatan,3750000,12.0,1.381567233128611,campur,1,1,1,1,1,1,1,1
Kost 9 Residence Tipe VIP Cilandak Jakarta Selatan,3750000,16.0,2.047492608181223,campur,1,0,1,1,1,1,1,1
Kost The Garden Hawari House Executive Cilandak Jakarta Selatan,3750000,24.75,2.6406112289701498,putri,1,1,1,1,1,0,0,0
Kost Adhyaksa Tipe A Plus Cilandak Jakarta Selatan,3750000,36.0,0.9776118103897948,putri,1,1,1,1,1,0,1,0
Kost Rich Room Fatmawati Tipe Deluxe Kebayoran Baru Jakarta Selatan,3750000,12.0,2.8848525141319024,campur,1,1,1,1,1,0,1,0
Kost Mrt Fatmawati Cilandak Jakarta Selatan,5800000,8.100000000000001,1.9672996088772576,putra,1,0,1,1,1,0,0,1
Kost Taman Tipe Reguler Cilandak Jakarta Selatan,3750000,14.0,1.7890997956546408,campur,1,0,0,1,1,0,1,1
Kost The Balcony Residence Tipe Deluxe Double Ground Floor Kebayoran Lama Jakarta Selatan,3740000,24.0,2.1929346443032105,putri,1,1,1,1,1,0,0,1
Kost Casa Panorama Tipe E Cilandak Jakarta Selatan,3700000,16.0,1.686788940573663,campur,1,1,1,1,1,1,0,1
Kost Wijaya Kusuma Paviliun Cilandak Jakarta Selatan,3650000,30.0,2.82480685950348,campur,1,1,0,1,1,0,1,0
Kost Singgahsini Papan Hobbies Tipe A Lebak Bulus Jakarta Selatan,3625000,23.760000000000005,1.7190423851653325,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Casa 34 Tipe A Cilandak Jakarta Selatan,3625000,20.25,1.9896756459214435,campur,1,1,1,1,1,0,1,0
Kost Singgahsini Rumoh èh Lebak Bulus Tipe C Cilandak Jakarta Selatan,3625000,14.4,0.8406130677112732,campur,1,1,1,1,1,0,1,0
Kost Casa Panorama Tipe D Cilandak Jakarta Selatan,3600000,16.0,1.6634867657767447,campur,1,1,0,1,1,1,0,1
Kost Adhyaksa Tipe A Cilandak Jakarta Selatan,3600000,24.0,0.9776118103897948,putri,1,1,1,1,1,0,1,0
Kost Griya Animos Studio A Cilandak Jakarta Selatan,3600000,12.0,2.49801296323162,campur,1,1,1,1,1,0,0,1
Kost Asmono Tipe B Cilandak Jakarta Selatan,5800000,5.0,2.6078375505610785,campur,1,1,0,0,1,0,1,0
Kost Singgahsini Casa 34 Tipe B Cilandak Jakarta Selatan,3525000,16.0,1.9896756459214435,campur,1,1,1,1,1,0,1,0
Kost Vayassi House Syariah Standard Cilandak Jakarta Selatan,3500000,12.0,1.381567233128611,campur,1,1,1,1,1,0,1,1
Kost The Base Co Living Luxe Cilandak Jakarta Selatan,3500000,48.0,1.343514651487124,putri,1,1,1,1,1,0,1,0
Kost Eksklusif Pendidikan 11A Tipe C Cilandak Jakarta Selatan,3500000,35.0,2.0480511369177155,campur,1,1,1,1,1,0,1,0
Kost Mango Deluxe Cilandak Jakarta Selatan,5750000,20.0,2.5929515530075102,campur,1,1,1,1,1,0,1,0
