nama_kos,harga,luas_kamar,jarak_ke_bca,tipe_kos,is_ac,is_km_dalam,is_water_heater,is_furnished,is_internet,is_listrik_free,is_parkir_mobil,is_mesin_cuci
Kost Molek Tipe A Kelapa Gading Jakarta Utara,1500000,6.0,1.4679504367361085,campur,1,0,0,1,1,1,0,1
Kost Nali House Tipe A Kelapa Gading Jakarta Utara,1500000,8.0,1.570900507052266,putri,1,0,0,1,1,0,0,0
Kost Pondok Cengkir Tipe AC Kelapa Gading Jakarta Utara,1450000,7.040000000000001,0.4493144318923843,putri,1,0,0,1,1,0,0,1
Kost Living Kelapa Gading Jakarta Utara,2200000,9.0,1.3646074875799417,putri,1,1,0,1,1,0,0,0
Kost Singgahsini Pintu Merah Tipe A Kelapa Gading Jakarta Utara,1850000,8.75,1.1616218918824637,campur,1,0,0,1,1,1,0,0
Kost Gading Elok 722 Tipe A Kelapa Gading Jakarta Utara,1800000,11.25,1.104347414034011,putri,1,1,1,1,1,1,0,1
Kost Singgahsini Charita Tipe B Kelapa Gading Jakarta Utara,1725000,5.4,1.6601497188062015,campur,1,0,0,1,1,0,0,0
Kost Kelapa Gading Timur Tipe A Kelapa Gading Jakarta Utara,1800000,7.290000000000001,0.82128577892181,campur,1,1,0,1,1,1,1,1
Kost Singgahsini T18A Pegangsaan Dua Tipe B Kelapa Gading Jakarta Utara,1510000,8.399999999999999,1.5452153619898832,putri,1,0,0,1,1,0,0,0
Kost Beo Grand Orchard Kelapa Gading Sukapura Jakarta Utara,1950000,12.0,2.143566937307665,putri,1,1,1,1,1,1,1,1
Kost Singgahsini Jeje Tipe B Kelapa Gading Jakarta Utara,1775000,6.0,0.6217407349039126,campur,1,1,0,1,1,0,0,0
Kost Singgahsini Charita Tipe C Kelapa Gading Jakarta Utara,1525000,5.0,1.6601497188062015,campur,1,0,0,1,1,0,0,0
Kost Gesefa Kelapa Gading Jakarta Utara,1700000,7.800000000000001,0.7933989257950028,putri,1,1,0,1,1,0,0,1
Kost Raya Permai Tipe Kamar Mandi Dalam Kelapa Gading Jakarta Utara,1600000,12.0,1.6544106270731065,campur,1,1,0,1,1,0,1,1
Kost Singgahsini 3L Residence Tipe A Kelapa Gading Jakarta Utara,2025000,10.5,1.1164529891674255,campur,1,0,1,1,1,0,0,0
Kost Ultra Residence VVIP Kelapa Gading Jakarta Utara,1750000,9.0,0.7992886161629813,putra,1,1,0,1,1,0,0,1
Kost Singgahsini Indri Taska 35 Tipe D Kelapa Gading Jakarta Utara,1625000,6.25,1.2197557282702092,putri,1,0,1,1,1,0,0,0
Kost Singgahsini Mandolin Tipe A Kelapa Gading Jakarta Utara,2025000,9.52,1.833362816039738,putra,1,1,1,1,1,0,0,1
Kost CherryHomeStay Tipe A Kelapa Gading Jakarta Utara,2550000,9.1,0.6901179103147732,putri,1,0,0,1,1,1,0,1
Kost Griya Pratama III Kelapa Gading Jakarta Utara,1600000,9.0,1.8459851784798813,putri,1,1,0,1,1,0,0,0
Kost Qing House KG VVIP Room Kelapa Gading Jakarta Utara,3500000,12.0,1.5726315256660337,putri,1,0,1,1,1,0,1,1
