nama_kos,harga,luas_kamar,jarak_ke_bca,tipe_kos,is_ac,is_km_dalam,is_water_heater,is_furnished,is_internet,is_listrik_free,is_parkir_mobil,is_mesin_cuci
Kost Singgahsini Guntur 40 Tipe A Setiabudi Jakarta Selatan,3375000,12.47,2.02810943283584,campur,1,1,1,1,1,0,1,0
Kost Singgahsini AOS Home Tipe A Setiabudi Jakarta Selatan,2625000,9.0,1.8927971955658367,campur,1,1,0,1,1,1,1,0
Kost Singgahsini Bendungan Hilir 95 Tipe A Tanah Abang Jakarta Pusat,1525000,12.25,2.176158187559801,campur,1,0,0,1,1,0,0,0
Kost Apik Kebon Kacang Tipe C Tanah Abang Jakarta Pusat,2025000,13.5,0.8790486024058662,putri,1,1,0,1,1,0,0,0
Kost Cikini Cozy Coliving Deluxe Window Menteng Jakarta Pusat,4000000,12.0,2.223149335473699,campur,1,1,1,1,1,0,1,1
Kost Singgahsini Vanela 8 Benhil Tipe B Tanah Abang Jakarta Pusat,2875000,7.5,2.2062293152073176,campur,1,1,1,1,1,0,0,0
Kost Singgahsini SB Living Tipe B Menteng Jakarta Pusat,2000000,7.290000000000001,2.1664281516531925,campur,1,1,0,1,1,0,1,0
Kost Singgahsini W One Kebon Kacang Tipe A Tanah Abang Jakarta Pusat,4725000,22.200000000000003,0.6495285941453699,campur,1,1,1,1,1,0,0,0
Kost Apik 89G Kwitang Tipe A Senen Jakarta Pusat,1175000,5.670000000000001,2.431753839642328,putri,1,0,0,1,1,1,0,0
Kost Adisa Tipe B Tanah Abang Jakarta Pusat,850000,7.5,1.6580695209364844,putra,1,0,0,1,1,1,0,1
Kost Apik Aipda Petamburan Tipe A Tanah Abang Jakarta Pusat,1500000,9.0,1.899072351722906,putri,1,0,0,1,1,1,0,0
Kost Singgahsini Hygge Hus Kampung Bali Tipe A Tanah Abang Jakarta Pusat,2425000,16.0,1.2670305663529162,campur,1,1,0,1,1,0,1,0
Kost Singgahsini Anisa Kebon Kacang 6 Tipe B Tanah Abang Jakarta Pusat,2825000,19.25,1.0264755958832252,putri,1,1,0,1,1,0,1,0
Kost Adisa 1 Tipe B Tanah Abang Jakarta Pusat,1000000,4.0,1.6775566337371135,putra,1,0,0,1,1,1,0,0
Kost Singgahsini W One Kebon Kacang 12 Tipe A Tanah Abang Jakarta Pusat,2525000,8.4,0.7541592744666701,campur,1,1,0,1,1,0,0,0
Kost Singgahsini Tanah Abang Tipe B Jakarta Pusat,1725000,12.0,0.8397280094251451,putri,1,1,0,1,1,1,1,0
Kost Apik Aura Kwitang Tipe A Senen Jakarta Pusat,1525000,5.0,2.4113552135553844,putra,1,0,0,1,1,1,0,0
Kost Menteng Latuharhary Menteng Jakarta Pusat,3500000,30.0,1.1443153661727583,putri,1,1,0,1,1,1,1,1
Kost Katelia Tanpoliang Senen Jakarta Pusat,2300000,16.0,2.4802806968009623,campur,1,1,0,1,1,0,0,0
